1 ;	北京大批公共寄售 & 保税的中心 
2 ;	S.C.约翰逊 & 儿子 
3 ;	中国银行 
4 ;	中国国家振华导入 & 出口 
5 ;	中国万科 
6 ;	中国莆田 
7 ;	英特尔中国 
8 ;	上海 FUSILE 化工建设材料有限公司工程产品 
9 ;	中信集团 
10 ;	SF 快递集团 
11 ;	中国计算机世界出版服务公司 
12 ;	进行中国化妆品 
13 ;	深圳市迪科 
14 ;	飞利浦家电 & 珠海经济特区的个人护理 
15 ;	佳能大连商业机器 
16 ;	中信信托 
17 ;	上海强生 & · 约翰逊 
18 ;	吉通南贝尔上海中心 
19 ;	佳能珠海 
20 ;	嘉陵-本田发动机 
21 ;	雀巢东莞 
22 ;	天津三美电机 
23 ;	盖洛普研究 
24 ;	INGERSOLL RAND 技术 & 服务公司北京联络处 
25 ;	IBM (中国) 投资 
26 ;	欧姆龙 (中国) 
27 ;	孟山都公司化工成套装备 （上海） 
28 ;	上海 YKK 拉链 
29 ;	航机械 & 电子 
30 ;	全国淀粉 & 化工广州 
31 ;	欧姆龙 (大连) 
32 ;	上海欧姆龙控制组件 
33 ;	上海 JT-欧姆龙软件 
34 ;	台州法雷奥温岭汽车系统 
35 ;	宝洁公司 & 赌博市浪奇实业股份 (广州) 
36 ;	北京 P & G 洗涤用品 
37 ;	松下电器厂北京 
38 ;	汕头经济特区锆业 NAP 
39 ;	中国贝卡尔特钢帘线 
40 ;	飞利浦 & 亚明照明 
41 ;	贺利氏材料技术 
42 ;	上海兴虹纺织 
43 ;	松下万宝家家电电熨斗 (广州) 
44 ;	松下万宝压缩机 (广州) 
45 ;	松下万宝美健生活电器装置广州 
46 ;	中国民族乐器导入 & 导出组 
47 ;	东方科学仪器进出口有限公司 & EXP 
48 ;	朗讯上海贝尔阿尔卡特 
49 ;	上海大众汽车
51 ;	WINBOUND 电子 
52 ;	中国远东国际贸易通用公司 
53 ;	摩托罗拉中国电子 
54 ;	中国国家邮政 & 电讯电器 
55 ;	河北大学 
56 ;	武汉华工激光工程 
57 ;	双城雀巢 
58 ;	石材集团公司 
59 ;	清华紫光 (集团) 方大 
60 ;	中国建设银行郑州支行 
61 ;	中国国家计算机软件 & 技术服务 
62 ;	UNISYS 中国 
63 ;	北京师范大学 
64 ;	中国国家电子设备 
65 ;	NEC 公司北京联络处 OFC 
66 ;	浙江省大学 
67 ;	中国清代国际贸易 (集团) 
68 ;	上海房地产管理组 
69 ;	南天电子信息集团 
70 ;	汽巴嘉基 (中国) 
71 ;	上海北卫星交易 & 信息 
72 ;	上海凯士比泵 
73 ;	上海职位 & 电信发展一般 
74 ;	北京中讯通信 
75 ;	青少年暑期活动 AUTOGLASS 
76 ;	福州电信技术发展 
77 ;	柯尼卡美能达光电大连 
78 ;	四川省邮政公司 
79 ;	深圳市 RAYES 技术 
80 ;	福特汽车中国 
81 ;	日驰智慧 
